seq_len,head_dim,dtype,causal,batch_size,heads,device,method,backend,status,error,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,memory_allocated_bytes
128,256,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.023889600206166504,0.023919999599456787,0.023423999547958374,0.02457600086927414,0.0003517780460205224,8414208
512,32,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.019703999720513822,0.01945599913597107,0.019071999937295914,0.02364799939095974,0.0009504524535164362,2130944
512,32,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.01944479988887906,0.019423999823629856,0.018880000337958336,0.019967999309301376,0.0003562326022724373,2130944
512,32,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.02069119978696108,0.020479999482631683,0.020191999152302742,0.021503999829292297,0.00035263944565529383,2130944
512,32,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.02088479995727539,0.020911999978125095,0.020479999482631683,0.021376000717282295,0.00027383407709662865,2130944
512,32,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.019481599889695646,0.01945599913597107,0.018912000581622124,0.020160000771284103,0.0003223277909492195,2130944
512,32,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.019459199532866477,0.01945599913597107,0.01881599985063076,0.020031999796628952,0.000309408728368902,2130944
512,32,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.020769599825143814,0.020655999891459942,0.019999999552965164,0.02147199958562851,0.0003966549848891965,2130944
512,32,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.02076000003144145,0.020864000543951988,0.019967999309301376,0.021376000717282295,0.0003566064733189265,2130944
512,64,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.028803200088441373,0.028672000393271446,0.028224000707268715,0.029600000008940697,0.00037261783852494495,4228096
512,64,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.02875520018860698,0.028672000393271446,0.028351999819278717,0.029440000653266907,0.0003290559434814583,4228096
512,64,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.029952000267803668,0.02969600073993206,0.02940800040960312,0.030719999223947525,0.0003920485334274389,4228096
512,64,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.03016959996894002,0.0301919998601079,0.029503999277949333,0.030719999223947525,0.00034607340150047286,4228096
512,64,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.029086400102823973,0.02860799990594387,0.028224000707268715,0.038784001022577286,0.0022398282051540267,4228096
512,64,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.028734400030225517,0.028672000393271446,0.028255999088287354,0.02969600073993206,0.00038962238564262694,4228096
512,64,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.030164800211787225,0.030207999981939793,0.02956799976527691,0.030719999223947525,0.0003671326802491509,4228096
512,64,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.030270400177687406,0.030271999537944794,0.02969600073993206,0.031136000528931618,0.00034635087958619765,4228096
512,128,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.05015679970383644,0.050175998359918594,0.049695998430252075,0.050912000238895416,0.0002528609049798418,8422400
512,128,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.050257600098848346,0.05016000010073185,0.04975999891757965,0.05110400170087814,0.00038672062230836577,8422400
512,128,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.045651200041174886,0.04588799923658371,0.044895999133586884,0.04608000069856644,0.00043927508132205167,8422400
512,128,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.045680000260472295,0.04576000012457371,0.04505600035190582,0.04608000069856644,0.00038579591123870816,8422400
512,128,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.05010719951242208,0.050175998359918594,0.04960000142455101,0.050783999264240265,0.0002813953485764573,8422400
